"","V1","V2","V3"
"CI",-1.000075,10,189.78
"CI",0.4999125,10,137.738
"CI",-1.00035809783936,10,926.289
"CI",-1.000075,10,364.993
"CI",-7.62121304403688,10,149.022
"CI",-4.00005,10,188.174
"CI",-1.000075,10,440.724
"CI",-1.15422506475873,10,659.786
"CI",-1.000075,10,282.635
"CI",-1.000075,10,105.217
"CI",0.4999125,10,190.468
"CI",0.965054014540815,10,802.96
"CI",-1.000075,10,87.418
"CI",-0.90641328125,10,448.399
"CI",-1.16060698066917,10,468.426
"CI",-1.000075,10,261.788
"CI",-0.00941916097661924,10,448.002
"CI",-0.859544921875,10,314.599
"CI",0.4999125,10,219.348
"CI",-4.00005,10,223.01
"CI",-0.625128125,10,223.708
"CI",-0.867465501911814,10,356.482
"CI",0.4999125,10,225.084
"CI",0.4999125,10,262.051
"CI",0,0,123.428
"CI",0.4999125,10,177.364
"CI",-0.90638828125,10,424.574
"CI",-1.000075,10,271.652
"CI",-1.000075,10,82.213
"CI",-1.000075,10,208.571
"CI",0.4999125,10,262.635
"CI",-4.00005,10,192.317
"CI",0.404342172341429,10,518.596
"CI",-1.000075,10,159.536
"CI",-1.000075,10,177.909
"CI",-10,10,380.151
"CI",-1.000075,10,457.179
"CI",-4.00005,10,495.448
"CI",-1.000075,10,273.743
"CI",-1.000075,4.000075,431.628
"CI",0.4999125,10,155.286
"CI",0.4999125,10,297.288
"CI",-1.000075,10,221.808
"CI",1.8124015625,10,322.484
"CI",0.4999125,10,158.155
"CI",-4.48060060839545,10,316.353
"CI",-10,10,136.863
"CI",0.4999125,10,187.115
"CI",-1.000075,10,296.513
"CI",-0.814733629005796,10,291.902
"CI",0.4999125,10,136.086
"CI",-5.7177214076996,10,1111.753
"CI",-1.000075,10,315.532
"CI",-1.09392109375,10,489.32
"CI",-1.000075,10,147.591
"CI",-6.28705443555295,10,648.866
"CI",-1.000075,10,242.211
"CI",-2.72451788985466,10,377.558
"CI",-1.000075,10,410.631
"CI",-1.000075,10,233.401
"CI",-0.746782562079405,10,410.057
"CI",0.4999125,10,186.179
"CI",-10,10,69.897
"CI",0.4999125,10,267.651
"CI",-1.000075,10,315.659
"CI",-0.813199818368768,10,290.472
"CI",0.4999125,10,132.74
"CI",-1.000075,10,407.525
"CI",-0.25013125,10,370.057
"CI",-1.000075,10,62.889
"CI",-1.000075,10,234.168
"CI",-0.625128125,10,359.17
"CI",0.4999125,10,95.598
"CI",0.4999125,10,153.528
"CI",0.4999125,10,99.188
