"","V1","V2","V3"
"CI",-1.000075,10,1135.998
"CI",-4.00005,10,805.74
"CI",-10,10,458.632
"CI",-4.00005,10,666.908
"CI",-1.000075,10,1298.284
"CI",-4.00005,10,812.195
"CI",-4.00005,10,1324.373
"CI",-4.00005,10,1167.567
"CI",-4.00005,10,1472.191
"CI",-1.000075,10,916.363
"CI",-4.00005,10,2524.91
"CI",-4.00005,10,1328.882
"CI",-4.00005,10,595.756
"CI",0.4999125,10,1228.85
"CI",-10,10,691.977
"CI",-4.00005,10,1331.504
"CI",-4.00005,10,452.937
"CI",0.267018514886366,2.76719351488637,2066.817
"CI",-1.000075,10,1532.452
"CI",-1.000075,10,1437.01
"CI",-1.000075,10,1188.334
"CI",-10,10,758.845
"CI",1.2263720703125,10,2717.86
"CI",-4.00005,10,1682.469
"CI",-4.00005,10,852.794
"CI",-1.000075,10,788.263
"CI",-4.00005,10,1146.431
"CI",-4.00005,10,1151.949
"CI",-0.25013125,10,1917.705
"CI",-4.00005,4.000075,2124.448
"CI",-1.000075,10,1555.265
"CI",-10,10,1308.35
"CI",-1.000075,10,1815.935
"CI",-4.00005,10,1283.146
"CI",-1.000075,10,1790.717
"CI",-0.25013125,10,1247.01
"CI",-4.00005,10,1595.39
"CI",-1.000075,10,602.044
"CI",-1.000075,10,1974.782
"CI",-10,10,995.508
"CI",0,0,139.63
"CI",-4.00005,10,523.828
"CI",0.4999125,10,742.199
"CI",-1.000075,10,841.368
"CI",-1.000075,10,676.03
"CI",-10,10,681.52
"CI",-10,10,1376.977
"CI",-1.000075,10,1140.941
"CI",-4.00005,10,1048.657
"CI",-1.000075,10,1417.452
"CI",-1.000075,10,1539.269
"CI",-10,10,505.189
"CI",-1.000075,10,858.889
"CI",-10,10,1362.949
"CI",-1.66250550192498,10,1263.169
"CI",-10,10,981.557
"CI",-10,10,661.174
"CI",-2.99424166531173,10,1194.519
"CI",-10,10,862.946
"CI",-4.00005,10,894.043
"CI",0.124840625,10,860.434
"CI",-10,10,954.778
"CI",-10,10,1430.456
"CI",-4.00005,10,1005.695
"CI",-1.000075,10,654
"CI",-4.00005,10,918.775
"CI",-10,10,404.71
"CI",-1.000075,10,1638.692
"CI",-1.000075,10,1639.12
"CI",-4.00005,10,641.071
"CI",-4.00005,10,803.477
"CI",-1.000075,10,960.296
"CI",-1.000075,10,1001.027
"CI",-10,10,1244.302
"CI",-10,10,794.802
"CI",-1.000075,10,1332.396
"CI",0.4999125,10,674.808
"CI",-3.25010625,10,374.78
"CI",-10,10,791.56
"CI",-0.104990517982088,10,2305.586
"CI",-4.69711294739963,10,3078.987
"CI",-4.00005,10,734.133
"CI",-10,10,509.958
"CI",-4.00005,10,1334.175
"CI",-1.000075,10,1279.972
"CI",-4.00005,10,834.714
"CI",-4.00005,10,1642.38
"CI",-10,10,504.572
"CI",-4.00005,10,1130.816
"CI",-10,10,1238.049
"CI",-1.000075,10,1323.628
"CI",-1.000075,10,650.235
"CI",-1.000075,10,1325.561
"CI",1.24990625,10,1070.856
"CI",-1.000075,10,642.558
"CI",-0.4376921875,10,1338.312
"CI",-4.00005,10,1896.608
"CI",0.4999125,10,634.128
"CI",-4.00005,10,1716.691
"CI",-7.81342163312792,10,932.534
"CI",-1.000075,10,701.06
"CI",-10,10,422.968
"CI",-10,10,1250.664
"CI",-1.000075,10,1554.133
"CI",-4.00005,10,619.857
"CI",-4.00005,10,1262.045
"CI",-10,10,1225.32
"CI",-1.000075,10,588.183
"CI",-10,10,565.715
"CI",-4.00005,10,1625.618
"CI",-1.000075,10,1982.141
"CI",-10,10,1100.559
"CI",-10,10,1771.329
"CI",-10,10,534.74
"CI",-10,10,653.948
"CI",-4.00005,10,901.922
"CI",-4.00005,10,2048.428
"CI",-4.99999999998835e-05,10,1418.393
"CI",-10,10,1251.431
"CI",-4.00005,10,1252.959
"CI",-4.00005,10,780.763
"CI",-10,10,513.011
"CI",-1.000075,10,726.292
"CI",-4.00005,10,634.688
"CI",-1.000075,10,1015.804
"CI",-1.000075,10,819.856
"CI",-4.00005,10,1302.553
"CI",-4.00005,10,936.843
"CI",-10,10,189.148
"CI",0.258722333111416,10,1588.869
"CI",-1.000075,10,1595.592
"CI",-4.00005,10,1162.776
"CI",-10,10,494.717
"CI",-1.000075,10,720.159
"CI",-4.00005,10,713.891
"CI",-4.00005,10,923.188
"CI",-1.000075,10,1850.273
"CI",-1.000075,10,1607.767
"CI",-1.78776845319013,10,1267.572
"CI",-1.000075,10,660.034
"CI",-4.00005,10,1032.742
"CI",-4.00005,10,931.074
"CI",-4.00005,10,842.33
"CI",-4.00005,10,979.976
"CI",-10,10,739.11
"CI",-10,10,469.882
"CI",-4.00005,10,1260.701
"CI",-1.000075,10,2042.028
"CI",-4.00005,10,1293.642
"CI",-10,10,984.504
"CI",-4.00005,10,503.299
"CI",0.4999125,10,918.929
"CI",-4.75382118179767,10,3793.211
"CI",-1.000075,10,1333.326
"CI",-1.000075,10,1831.679
"CI",-4.00005,10,436.162
"CI",-1.000075,10,1630.801
"CI",-2.17627813040473,10,2631.701
"CI",-10,10,533.731
"CI",-1.000075,10,825.983
"CI",-4.00005,10,563.86
"CI",-4.00005,10,1106.944
"CI",-10,10,528.518
"CI",-4.00005,10,1719.04
"CI",-1.000075,10,922.966
"CI",-1.000075,10,1696.203
"CI",-0.25013125,10,1077.528
"CI",-10,10,1271.495
"CI",-1.000075,10,1147.27
"CI",-1.000075,10,943.368
"CI",-0.883817360696227,10,1912.731
"CI",-10,10,724.888
"CI",-1.000075,10,609.909
"CI",-1.000075,10,990.105
"CI",0.165743798828125,6.00027206573486,7476.725
"CI",-0.25013125,10,999.713
"CI",0,0,378.398
"CI",-10,10,1080.048
"CI",-1.000075,10,2372.524
"CI",-4.00005,10,1518.808
"CI",-10,10,1479.928
"CI",-10,10,1165.085
