"","V1","V2","V3"
"CI",-1.749267578125,10,655.133
"CI",-10,10,883.342
"CI",-10,10,3.91700000000037
"CI",-10,10,4.04600000000028
"CI",-4.188232421875,4.6884765625,1825.146
"CI",-10,10,3.98499999999967
"CI",-10,10,3.90099999999984
"CI",-10,10,3.89199999999983
"CI",-8.467041015625,10,1005.986
"CI",-10,10,3.91600000000017
"CI",-10,10,1237.035
"CI",-7.97705078125,10,829.313
"CI",-10,10,3.97100000000046
"CI",-10,10,3.93299999999908
"CI",-10,10,3.93199999999979
"CI",-2.26123046875,10,948.809
"CI",-10,10,3.97899999999936
"CI",-10,10,3.8730000000005
"CI",-6.0712890625,10,980.041
"CI",-10,10,3.80400000000009
"CI",-10,10,4.00500000000011
"CI",-10,10,3.89399999999932
"CI",-10,10,4.03699999999844
"CI",-1.65478515625,10,1326.487
"CI",5.13729873792834,5.1388161803904,1509.277
"CI",-10,10,3.85800000000017
"CI",-10,10,4.00099999999929
"CI",-10,10,3.92299999999886
"CI",-10,10,3.77399999999943
"CI",-10,10,3.88000000000102
"CI",-10,10,61.5239999999994
"CI",-10,10,3.84000000000015
"CI",-1.255615234375,10,753.115000000002
"CI",-10,10,3.92600000000039
"CI",-10,10,3.87100000000009
"CI",-9.90625,10,1364.126
"CI",-10,10,3.9340000000002
"CI",-10,10,3.96999999999935
"CI",-10,10,3.90300000000025
"CI",-10,10,3.94000000000051
"CI",-10,10,3.86799999999857
"CI",-10,10,3.79099999999926
"CI",-10,10,4.06800000000021
"CI",-6.99201770112237,10,1254.569
"CI",-9.691650390625,10,813.860000000001
"CI",-3.250732421875,9.4072265625,2411.749
"CI",-10,10,4.05899999999929
"CI",-1.000732421875,10,516.918
"CI",-0.03759765625,10,813.249999999999
"CI",-10,10,4.04399999999987
"CI",-10,10,3.87800000000061
"CI",-10,10,4.06099999999969
"CI",-10,10,3.98399999999947
"CI",-10,10,3.8779999999997
"CI",-10,10,4.3130000000001
"CI",-10,10,3.93000000000029
"CI",-10,10,3.97200000000157
"CI",-10,10,3.92200000000048
"CI",-3.982421875,10,828.581
"CI",-10,10,4.01999999999953
"CI",-10,10,3.76199999999881
"CI",-10,10,4.02599999999984
"CI",-10,10,4.0630000000001
"CI",-1.37353515625,10,1230.714
"CI",-10,10,3.98099999999977
