"","V1","V2","V3"
"CI",1.326904296875,2.359375,7130.212
"CI",1.52685546875,2.5244140625,4893.663
"CI",1.73046875,2.7890625,3756.852
"CI",1.366455078125,2.2470703125,4888.686
"CI",1.63671875,2.701171875,5130.078
"CI",1.6220703125,2.6708984375,5462.313
"CI",1.625732421875,2.5546875,3994.217
"CI",1.624267578125,2.6337890625,5042.326
"CI",1.679931640625,2.642578125,5421.551
"CI",1.718017578125,2.8818359375,6501.866
"CI",1.772216796875,2.8037109375,5852.355
"CI",1.38330078125,2.4033203125,6858.866
"CI",1.908447265625,3.2841796875,6539.946
"CI",1.47998046875,2.34375,6657.463
"CI",1.715087890625,2.822265625,6712.745
"CI",1.836669921875,2.921875,6898.911
"CI",1.90625,3.0576171875,7355.112
"CI",1.668212890625,2.6416015625,7263.238
"CI",1.60302734375,2.708984375,5603.225
"CI",1.57666015625,2.6494140625,5994.773
"CI",1.644775390625,2.880859375,5123.783
"CI",1.39794921875,2.2578125,5425.923
"CI",1.77734375,2.716796875,7030.079
"CI",1.558349609375,2.6044921875,4963.149
"CI",1.72021484375,2.783203125,6775.535
"CI",1.508544921875,2.490234375,5842.456
"CI",1.653564453125,2.8134765625,5373.159
"CI",1.55615234375,2.5,5508.051
"CI",1.480712890625,2.421875,6044.664
"CI",1.461669921875,2.1923828125,6845.104
"CI",1.65576171875,2.7021484375,6221.375
"CI",1.325439453125,2.3134765625,5311.664
"CI",1.520263671875,2.6650390625,8026.299
"CI",1.68359375,2.70703125,5669.791
"CI",1.612548828125,2.58984375,7966.518
"CI",1.606689453125,2.5244140625,4709.007
"CI",1.51220703125,2.3671875,6920.383
"CI",1.529052734375,2.42578125,5055.457
"CI",1.5078125,2.375,6627.24
"CI",1.64404296875,2.9453125,5258.996
"CI",1.76123046875,2.8291015625,5826.285
"CI",1.589111328125,2.6259765625,4745.688
"CI",1.622802734375,2.6796875,6083.915
"CI",1.558349609375,2.5380859375,6086.71
"CI",1.4609375,2.392578125,4151.044
"CI",1.454345703125,2.4267578125,4987.125
"CI",1.5341796875,2.3681640625,8341.667
"CI",1.59130859375,2.525390625,5239.437
"CI",1.71435546875,2.75,7460.139
"CI",1.74658203125,2.8427734375,6997.345
"CI",1.364990234375,2.5185546875,4519.94
"CI",1.701171875,2.8330078125,4248.356
"CI",1.406005859375,2.4384765625,7633.286
"CI",1.690185546875,2.6875,4237.591
"CI",1.5400390625,2.4580078125,4049.645
"CI",1.577392578125,2.4990234375,5124.906
"CI",1.6806640625,2.5498046875,4995.987
"CI",1.356201171875,2.376953125,5083.833
"CI",1.50341796875,2.37109375,5369.139
"CI",1.716552734375,2.9072265625,5735.615
"CI",1.4772556747553,2.2107240745522,9654.441
"CI",1.389892578125,2.3115234375,5239.217
"CI",1.46533203125,2.3916015625,5684.403
"CI",2.04649283688466,3.34825938162505,10087.893
"CI",1.672607421875,2.7900390625,6616.582
"CI",1.578125,2.4912109375,8460.317
"CI",1.534912109375,2.5615234375,5433.732
"CI",1.548095703125,2.498046875,4975.641
"CI",1.83740234375,3.01171875,6320.68
"CI",1.4375,2.3505859375,5361.465
"CI",1.666748046875,2.6787109375,7202.192
"CI",1.718017578125,2.5595703125,5407.602
"CI",1.855712890625,3.0947265625,7443.174
"CI",1.60595703125,2.4296875,4012.353
"CI",1.389892578125,2.4453125,6502.971
"CI",1.679931640625,2.6875,5807.2
"CI",1.6044921875,2.60546875,6748.905
"CI",1.3994140625,2.4267578125,4466.875
"CI",1.498291015625,2.4091796875,7353.839
"CI",1.9091796875,3.0166015625,9851.505
"CI",1.483642578125,2.5205078125,5887.91
"CI",1.6806640625,2.845703125,6449.618
"CI",1.612548828125,2.6494140625,7364.161
"CI",1.6015625,2.6787109375,7058.144
"CI",1.553955078125,2.453125,7743.817
"CI",1.501220703125,2.5322265625,6872.856
"CI",1.71142578125,2.810546875,5741.56
"CI",1.625,2.466796875,5665.686
"CI",1.553955078125,2.5166015625,6758.343
"CI",1.583251953125,2.6796875,7780.649
"CI",1.5400390625,2.541015625,5575.973
"CI",1.436767578125,2.3798828125,6339.281
"CI",1.266845703125,2.1171875,4891.999
"CI",1.72021484375,2.5712890625,5209.597
"CI",1.4609375,2.5048828125,4851.827
"CI",1.408935546875,2.1220703125,6725.141
"CI",1.463134765625,2.3349609375,5084.476
"CI",1.498291015625,2.4365234375,7904.08
"CI",1.348876953125,2.3125,6287.586
"CI",1.338623046875,2.2607421875,7558.289
"CI",1.354736328125,2.2822265625,5323.44
"CI",1.6103515625,2.6591796875,7209.713
"CI",1.625732421875,2.8447265625,4243.902
"CI",1.820556640625,2.7705078125,4123.877
"CI",1.71728515625,2.7412109375,5268.237
"CI",1.5634765625,2.6259765625,4497.723
"CI",1.924560546875,3.2509765625,8252.224
"CI",1.3583984375,2.37109375,5599.215
"CI",1.47412109375,2.3408203125,3824.294
"CI",1.953857421875,2.8759765625,4966.44
"CI",1.769287109375,2.91796875,5663.291
"CI",1.58984375,2.525390625,5503.553
"CI",1.48583984375,2.423828125,5527.868
"CI",1.35546875,2.2529296875,6317.737
"CI",1.73486328125,2.8603515625,7602.936
"CI",1.51220703125,2.46484375,5865.425
